Platform,Month,Member,VideoCount,TotalMetric,AvgMetric
DOUYIN,2024-06,REI,9,218109,24234
DOUYIN,2024-07,REI,8,110585,13823
DOUYIN,2024-08,REI,12,195748,16312
DOUYIN,2024-09,REI,2,49386,24693
DOUYIN,2024-10,REI,6,144131,24022
DOUYIN,2024-11,REI,5,93217,18643
DOUYIN,2024-12,REI,7,285159,40737
DOUYIN,2025-01,REI,18,365065,20281
DOUYIN,2025-02,REI,24,453274,18886
DOUYIN,2025-03,REI,4,247855,61964
DOUYIN,2025-04,REI,9,243401,27045
DOUYIN,2025-05,REI,7,807224,115318
DOUYIN,2025-06,REI,8,547264,68408
DOUYIN,2025-07,REI,8,992951,124119
DOUYIN,2025-08,REI,12,684737,57061
DOUYIN,2025-09,REI,19,1446704,76142
DOUYIN,2025-10,REI,11,622670,56606
DOUYIN,2025-11,REI,4,653809,163452
DOUYIN,2025-12,REI,13,1332259,102481
DOUYIN,2026-01,REI,12,1179336,98278
DOUYIN,2026-02,REI,2,169170,84585
DOUYIN,2024-05,GAEUL,1,10463,10463
DOUYIN,2024-06,GAEUL,2,52258,26129
DOUYIN,2024-07,GAEUL,5,63954,12791
DOUYIN,2024-08,GAEUL,2,39015,19508
DOUYIN,2024-09,GAEUL,3,192316,64105
DOUYIN,2024-10,GAEUL,2,53571,26786
DOUYIN,2024-11,GAEUL,2,27121,13560
DOUYIN,2024-12,GAEUL,6,272639,45440
DOUYIN,2025-01,GAEUL,11,342758,31160
DOUYIN,2025-02,GAEUL,12,236525,19710
DOUYIN,2025-03,GAEUL,2,174425,87212
DOUYIN,2025-04,GAEUL,6,161434,26906
DOUYIN,2025-05,GAEUL,1,18322,18322
DOUYIN,2025-06,GAEUL,4,738650,184662
DOUYIN,2025-07,GAEUL,4,713759,178440
DOUYIN,2025-08,GAEUL,8,1011627,126453
DOUYIN,2025-09,GAEUL,13,1090113,83855
DOUYIN,2025-10,GAEUL,4,202378,50594
DOUYIN,2025-11,GAEUL,1,47279,47279
DOUYIN,2025-12,GAEUL,10,1285252,128525
DOUYIN,2026-01,GAEUL,7,942326,134618
DOUYIN,2026-02,GAEUL,1,42441,42441
DOUYIN,2024-05,LIZ,1,22169,22169
DOUYIN,2024-06,LIZ,4,66439,16610
DOUYIN,2024-07,LIZ,4,55782,13946
DOUYIN,2024-08,LIZ,3,54169,18056
DOUYIN,2024-09,LIZ,1,25424,25424
DOUYIN,2024-10,LIZ,3,66687,22229
DOUYIN,2024-11,LIZ,4,108328,27082
DOUYIN,2025-01,LIZ,10,319406,31941
DOUYIN,2025-02,LIZ,8,201714,25214
DOUYIN,2025-03,LIZ,1,30406,30406
DOUYIN,2025-04,LIZ,4,166937,41734
DOUYIN,2025-06,LIZ,2,219893,109946
DOUYIN,2025-07,LIZ,2,534968,267484
DOUYIN,2025-08,LIZ,5,1076792,215358
DOUYIN,2025-09,LIZ,9,1882515,209168
DOUYIN,2025-10,LIZ,5,1452885,290577
DOUYIN,2025-11,LIZ,2,857586,428793
DOUYIN,2025-12,LIZ,10,716484,71648
DOUYIN,2026-01,LIZ,12,2236299,186358
DOUYIN,2024-06,LEESEO,4,77244,19311
DOUYIN,2024-07,LEESEO,3,48150,16050
DOUYIN,2024-08,LEESEO,4,70640,17660
DOUYIN,2024-09,LEESEO,1,24489,24489
DOUYIN,2024-10,LEESEO,2,81684,40842
DOUYIN,2024-11,LEESEO,3,136787,45596
