Platform,ID,Title,Members,Views,Likes,Comments,Favorites,Shares,Date,URL
YOUTUBE,PiTx3y7iBJo,이게 같은차즈야 😎 #Shorts,GROUP/UNKNOWN,782000,42150,317,,,2022-12-21,https://www.youtube.com/shorts/PiTx3y7iBJo
YOUTUBE,dxZazwBnAIE,까먹기전에 🎶🎹 #Shorts,GROUP/UNKNOWN,371000,32087,501,,,2022-12-22,https://www.youtube.com/shorts/dxZazwBnAIE
YOUTUBE,NoSZuXumTQ8,우리만의 자유로운 Nineteen’s 'Kitsch' 😈 #Kitsch #Kitschchallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,GROUP/UNKNOWN,3500000,177473,1500,,,2023-03-27,https://www.youtube.com/shorts/NoSZuXumTQ8
YOUTUBE,m2GzxR6iRXo,K-I-T-S-C-H 😎 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,GROUP/UNKNOWN,4800000,262276,1200,,,2023-03-28,https://www.youtube.com/shorts/m2GzxR6iRXo
YOUTUBE,vg6jt_DO_oc,"YOU'RE SO WEIRD, DON'T CHANGE 💗🎀 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts",GROUP/UNKNOWN,5700000,268826,1700,,,2023-03-29,https://www.youtube.com/shorts/vg6jt_DO_oc
YOUTUBE,u_ycT9K6Cik,Kitsch! 🕶 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,GROUP/UNKNOWN,10000000,486040,2100,,,2023-03-29,https://www.youtube.com/shorts/u_ycT9K6Cik
YOUTUBE,R2R0gJRnPIE,아이브만 좋아하면 뭐 어때 huh 👓🎶 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,GROUP/UNKNOWN,2700000,132528,847,,,2023-03-30,https://www.youtube.com/shorts/R2R0gJRnPIE
YOUTUBE,N0QScGnusI4,지구용사 #이은지 의 #내춤춰챌린지💃🏼 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #뿅뿅지구오락실 #Shorts,GROUP/UNKNOWN,3600000,118469,531,,,2023-03-30,https://www.youtube.com/shorts/N0QScGnusI4
YOUTUBE,sny8W5rKlcg,자유로운 Kitsch! 💟 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,GROUP/UNKNOWN,7300000,341753,1500,,,2023-03-31,https://www.youtube.com/shorts/sny8W5rKlcg
YOUTUBE,OCQNtXuZgUM,지구용사 #이영지 의 #내춤춰챌린지💃🏼 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #뿅뿅지구오락실 #Shorts,GROUP/UNKNOWN,14000000,459703,1400,,,2023-03-31,https://www.youtube.com/shorts/OCQNtXuZgUM
YOUTUBE,r5JyaBcxqBE,지구용사 #미미 의 #내춤춰챌린지💃🏼 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #뿅뿅지구오락실 #Shorts,GROUP/UNKNOWN,4900000,162455,677,,,2023-04-01,https://www.youtube.com/shorts/r5JyaBcxqBE
YOUTUBE,l8cg29ri05w,걷잡을 수 없이 올라 미친 Party 🍰🎉 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,GROUP/UNKNOWN,1200000,84438,798,,,2023-04-01,https://www.youtube.com/shorts/l8cg29ri05w
YOUTUBE,pzYR-ahvo_s,Yah~ 모두 주목해! 👖💎 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,GROUP/UNKNOWN,2700000,155135,892,,,2023-04-02,https://www.youtube.com/shorts/pzYR-ahvo_s
YOUTUBE,t7kw527RbZs,"Shall We ""Kitsch""❓ #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts",GROUP/UNKNOWN,1900000,117756,587,,,2023-04-06,https://www.youtube.com/shorts/t7kw527RbZs
YOUTUBE,rNLtOkTvc3g,#우주소녀 #수빈 선배님과 #내춤춰챌린지 💃🪩 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #ANYUJIN #안유진 #IveIVE #Shorts,YUJIN,1900000,84377,417,,,2023-04-07,https://www.youtube.com/shorts/rNLtOkTvc3g
